order_id,customer_id,product_id,quantity,order_date,status,product_name,category,price,name,region,signup_date,total_amount,month
1,62,39,3,2023-01-01 00:00:00,Completed,Product_39,Home,405.98,Customer_62,East,2023-07-03,1217.94,2023-01
2,77,3,3,2023-01-01 01:00:00,Completed,Product_3,Clothing,46.28,Customer_77,West,2023-08-17,138.84,2023-01
3,3,45,3,2023-01-01 02:00:00,Completed,Product_45,Books,274.28,Customer_3,North,2023-01-07,822.8399999999999,2023-01
4,70,13,3,2023-01-01 03:00:00,Completed,Product_13,Books,322.4,Customer_70,South,2023-07-27,967.1999999999999,2023-01
5,72,50,4,2023-01-01 04:00:00,Completed,Product_50,Books,121.69,Customer_72,South,2023-08-02,486.76,2023-01
6,27,28,4,2023-01-01 05:00:00,Completed,Product_28,Electronics,164.03,Customer_27,South,2023-03-20,656.12,2023-01
8,62,28,3,2023-01-01 07:00:00,Completed,Product_28,Electronics,164.03,Customer_62,East,2023-07-03,492.09000000000003,2023-01
9,37,8,3,2023-01-01 08:00:00,Completed,Product_8,Books,172.14,Customer_37,West,2023-04-19,516.42,2023-01
10,97,41,1,2023-01-01 09:00:00,Completed,Product_41,Books,437.02,Customer_97,South,2023-10-16,437.02,2023-01
11,51,39,4,2023-01-01 10:00:00,Completed,Product_39,Home,405.98,Customer_51,East,2023-05-31,1623.92,2023-01
12,44,1,3,2023-01-01 11:00:00,Pending,Product_1,Home,367.21,Customer_44,West,2023-05-10,1101.6299999999999,2023-01
13,24,3,2,2023-01-01 12:00:00,Completed,Product_3,Clothing,46.28,Customer_24,West,2023-03-11,92.56,2023-01
14,79,13,2,2023-01-01 13:00:00,Completed,Product_13,Books,322.4,Customer_79,East,2023-08-23,644.8,2023-01
15,59,28,4,2023-01-01 14:00:00,Pending,Product_28,Electronics,164.03,Customer_59,East,2023-06-24,656.12,2023-01
16,32,49,2,2023-01-01 15:00:00,Completed,Product_49,Electronics,63.93,Customer_32,North,2023-04-04,127.86,2023-01
17,96,25,2,2023-01-01 16:00:00,Completed,Product_25,Electronics,62.87,Customer_96,South,2023-10-13,125.74,2023-01
19,52,38,3,2023-01-01 18:00:00,Completed,Product_38,Electronics,465.55,Customer_52,South,2023-06-03,1396.65,2023-01
20,62,6,3,2023-01-01 19:00:00,Completed,Product_6,Clothing,432.92,Customer_62,East,2023-07-03,1298.76,2023-01
21,58,44,2,2023-01-01 20:00:00,Unknown,Product_44,Books,447.35,Customer_58,North,2023-06-21,894.7,2023-01
22,52,45,2,2023-01-01 21:00:00,Completed,Product_45,Books,274.28,Customer_52,South,2023-06-03,548.56,2023-01
23,12,32,3,2023-01-01 22:00:00,Completed,Product_32,Electronics,211.09,Customer_12,East,2023-02-03,633.27,2023-01
24,39,45,4,2023-01-01 23:00:00,Completed,Product_45,Books,274.28,Customer_39,North,2023-04-25,1097.12,2023-01
26,3,21,1,2023-01-02 01:00:00,Completed,Product_21,Books,251.96,Customer_3,North,2023-01-07,251.96,2023-01
27,56,16,4,2023-01-02 02:00:00,Completed,Product_16,Books,68.6,Customer_56,West,2023-06-15,274.4,2023-01
28,81,21,2,2023-01-02 03:00:00,Completed,Product_21,Books,251.96,Customer_81,East,2023-08-29,503.92,2023-01
29,59,11,2,2023-01-02 04:00:00,Completed,Product_11,Books,169.34,Customer_59,East,2023-06-24,338.68,2023-01
30,2,37,1,2023-01-02 05:00:00,Completed,Product_37,Electronics,89.0,Customer_2,West,2023-01-04,89.0,2023-01
31,2,36,1,2023-01-02 06:00:00,Completed,Product_36,Electronics,151.98,Customer_2,West,2023-01-04,151.98,2023-01
32,92,35,3,2023-01-02 07:00:00,Completed,Product_35,Home,47.72,Customer_92,West,2023-10-01,143.16,2023-01
33,54,19,4,2023-01-02 08:00:00,Completed,Product_19,Books,285.03,Customer_54,West,2023-06-09,1140.12,2023-01
34,87,20,4,2023-01-02 09:00:00,Completed,Product_20,Electronics,387.77,Customer_87,South,2023-09-16,1551.08,2023-01
35,96,18,3,2023-01-02 10:00:00,Completed,Product_18,Clothing,382.78,Customer_96,South,2023-10-13,1148.34,2023-01
36,97,47,4,2023-01-02 11:00:00,Completed,Product_47,Home,449.08,Customer_97,South,2023-10-16,1796.32,2023-01
37,1,41,4,2023-01-02 12:00:00,Completed,Product_41,Books,437.02,Customer_1,East,2023-01-01,1748.08,2023-01
38,19,49,4,2023-01-02 13:00:00,Pending,Product_49,Electronics,63.93,Customer_19,West,2023-02-24,255.72,2023-01
39,2,14,4,2023-01-02 14:00:00,Completed,Product_14,Clothing,444.73,Customer_2,West,2023-01-04,1778.92,2023-01
40,53,15,4,2023-01-02 15:00:00,Completed,Product_15,Home,241.39,Customer_53,East,2023-06-06,965.56,2023-01
41,44,31,1,2023-01-02 16:00:00,Completed,Product_31,Books,132.15,Customer_44,West,2023-05-10,132.15,2023-01
43,32,3,1,2023-01-02 18:00:00,Pending,Product_3,Clothing,46.28,Customer_32,North,2023-04-04,46.28,2023-01
44,70,16,4,2023-01-02 19:00:00,Completed,Product_16,Books,68.6,Customer_70,South,2023-07-27,274.4,2023-01
45,32,23,3,2023-01-02 20:00:00,Completed,Product_23,Clothing,219.5,Customer_32,North,2023-04-04,658.5,2023-01
47,55,12,1,2023-01-02 22:00:00,Completed,Product_12,Home,367.51,Customer_55,East,2023-06-12,367.51,2023-01
48,75,10,4,2023-01-02 23:00:00,Completed,Product_10,Home,162.38,Customer_75,North,2023-08-11,649.52,2023-01
49,56,32,3,2023-01-03 00:00:00,Completed,Product_32,Electronics,211.09,Customer_56,West,2023-06-15,633.27,2023-01
50,17,16,2,2023-01-03 01:00:00,Completed,Product_16,Books,68.6,Customer_17,West,2023-02-18,137.2,2023-01
51,38,8,1,2023-01-03 02:00:00,Unknown,Product_8,Books,172.14,Customer_38,North,2023-04-22,172.14,2023-01
52,24,38,2,2023-01-03 03:00:00,Pending,Product_38,Electronics,465.55,Customer_24,West,2023-03-11,931.1,2023-01
53,69,12,3,2023-01-03 04:00:00,Completed,Product_12,Home,367.51,Customer_69,West,2023-07-24,1102.53,2023-01
54,98,24,1,2023-01-03 05:00:00,Completed,Product_24,Home,22.46,Customer_98,West,2023-10-19,22.46,2023-01
55,70,28,2,2023-01-03 06:00:00,Unknown,Product_28,Electronics,164.03,Customer_70,South,2023-07-27,328.06,2023-01
57,11,28,1,2023-01-03 08:00:00,Completed,Product_28,Electronics,164.03,Customer_11,East,2023-01-31,164.03,2023-01
59,97,26,3,2023-01-03 10:00:00,Unknown,Product_26,Books,25.4,Customer_97,South,2023-10-16,76.19999999999999,2023-01
60,73,8,3,2023-01-03 11:00:00,Pending,Product_8,Books,172.14,Customer_73,North,2023-08-05,516.42,2023-01
61,59,50,1,2023-01-03 12:00:00,Completed,Product_50,Books,121.69,Customer_59,East,2023-06-24,121.69,2023-01
62,70,28,2,2023-01-03 13:00:00,Completed,Product_28,Electronics,164.03,Customer_70,South,2023-07-27,328.06,2023-01
63,80,28,1,2023-01-03 14:00:00,Pending,Product_28,Electronics,164.03,Customer_80,West,2023-08-26,164.03,2023-01
64,93,37,1,2023-01-03 15:00:00,Completed,Product_37,Electronics,89.0,Customer_93,South,2023-10-04,89.0,2023-01
65,3,41,2,2023-01-03 16:00:00,Pending,Product_41,Books,437.02,Customer_3,North,2023-01-07,874.04,2023-01
66,20,36,2,2023-01-03 17:00:00,Completed,Product_36,Electronics,151.98,Customer_20,East,2023-02-27,303.96,2023-01
67,59,27,4,2023-01-03 18:00:00,Completed,Product_27,Clothing,321.84,Customer_59,East,2023-06-24,1287.36,2023-01
68,36,17,2,2023-01-03 19:00:00,Completed,Product_17,Electronics,359.49,Customer_36,North,2023-04-16,718.98,2023-01
69,19,9,3,2023-01-03 20:00:00,Completed,Product_9,Clothing,41.14,Customer_19,West,2023-02-24,123.42,2023-01
70,90,33,1,2023-01-03 21:00:00,Unknown,Product_33,Electronics,380.22,Customer_90,South,2023-09-25,380.22,2023-01
71,67,20,1,2023-01-03 22:00:00,Pending,Product_20,Electronics,387.77,Customer_67,West,2023-07-18,387.77,2023-01
72,19,13,3,2023-01-03 23:00:00,Pending,Product_13,Books,322.4,Customer_19,West,2023-02-24,967.1999999999999,2023-01
73,20,28,2,2023-01-04 00:00:00,Completed,Product_28,Electronics,164.03,Customer_20,East,2023-02-27,328.06,2023-01
74,96,48,3,2023-01-04 01:00:00,Completed,Product_48,Home,165.82,Customer_96,South,2023-10-13,497.46,2023-01
75,71,29,3,2023-01-04 02:00:00,Completed,Product_29,Books,259.2,Customer_71,South,2023-07-30,777.5999999999999,2023-01
76,52,13,4,2023-01-04 03:00:00,Completed,Product_13,Books,322.4,Customer_52,South,2023-06-03,1289.6,2023-01
77,33,46,3,2023-01-04 04:00:00,Completed,Product_46,Home,405.65,Customer_33,West,2023-04-07,1216.9499999999998,2023-01
78,40,35,1,2023-01-04 05:00:00,Completed,Product_35,Home,47.72,Customer_40,East,2023-04-28,47.72,2023-01
79,39,6,3,2023-01-04 06:00:00,Completed,Product_6,Clothing,432.92,Customer_39,North,2023-04-25,1298.76,2023-01
80,82,18,1,2023-01-04 07:00:00,Completed,Product_18,Clothing,382.78,Customer_82,West,2023-09-01,382.78,2023-01
81,1,5,1,2023-01-04 08:00:00,Unknown,Product_5,Clothing,66.78,Customer_1,East,2023-01-01,66.78,2023-01
83,92,25,2,2023-01-04 10:00:00,Completed,Product_25,Electronics,62.87,Customer_92,West,2023-10-01,125.74,2023-01
84,57,2,4,2023-01-04 11:00:00,Completed,Product_2,Clothing,387.92,Customer_57,West,2023-06-18,1551.68,2023-01
85,89,10,1,2023-01-04 12:00:00,Pending,Product_10,Home,162.38,Customer_89,West,2023-09-22,162.38,2023-01
86,50,30,1,2023-01-04 13:00:00,Completed,Product_30,Books,454.71,Customer_50,South,2023-05-28,454.71,2023-01
89,94,5,3,2023-01-04 16:00:00,Completed,Product_5,Clothing,66.78,Customer_94,South,2023-10-07,200.34,2023-01
90,42,33,3,2023-01-04 17:00:00,Completed,Product_33,Electronics,380.22,Customer_42,East,2023-05-04,1140.66,2023-01
91,99,1,4,2023-01-04 18:00:00,Completed,Product_1,Home,367.21,Customer_99,South,2023-10-22,1468.84,2023-01
92,7,18,1,2023-01-04 19:00:00,Completed,Product_18,Clothing,382.78,Customer_7,North,2023-01-19,382.78,2023-01
93,16,32,2,2023-01-04 20:00:00,Completed,Product_32,Electronics,211.09,Customer_16,North,2023-02-15,422.18,2023-01
95,60,49,2,2023-01-04 22:00:00,Completed,Product_49,Electronics,63.93,Customer_60,North,2023-06-27,127.86,2023-01
96,2,11,2,2023-01-04 23:00:00,Completed,Product_11,Books,169.34,Customer_2,West,2023-01-04,338.68,2023-01
98,48,26,2,2023-01-05 01:00:00,Pending,Product_26,Books,25.4,Customer_48,East,2023-05-22,50.8,2023-01
99,12,25,3,2023-01-05 02:00:00,Completed,Product_25,Electronics,62.87,Customer_12,East,2023-02-03,188.60999999999999,2023-01
100,69,22,2,2023-01-05 03:00:00,Completed,Product_22,Electronics,266.14,Customer_69,West,2023-07-24,532.28,2023-01
101,37,27,3,2023-01-05 04:00:00,Completed,Product_27,Clothing,321.84,Customer_37,West,2023-04-19,965.52,2023-01
102,32,49,1,2023-01-05 05:00:00,Completed,Product_49,Electronics,63.93,Customer_32,North,2023-04-04,63.93,2023-01
103,9,13,4,2023-01-05 06:00:00,Completed,Product_13,Books,322.4,Customer_9,East,2023-01-25,1289.6,2023-01
104,99,33,3,2023-01-05 07:00:00,Completed,Product_33,Electronics,380.22,Customer_99,South,2023-10-22,1140.66,2023-01
105,19,34,3,2023-01-05 08:00:00,Unknown,Product_34,Electronics,122.11,Customer_19,West,2023-02-24,366.33,2023-01
106,48,41,4,2023-01-05 09:00:00,Completed,Product_41,Books,437.02,Customer_48,East,2023-05-22,1748.08,2023-01
108,3,1,3,2023-01-05 11:00:00,Unknown,Product_1,Home,367.21,Customer_3,North,2023-01-07,1101.6299999999999,2023-01
109,20,21,2,2023-01-05 12:00:00,Completed,Product_21,Books,251.96,Customer_20,East,2023-02-27,503.92,2023-01
111,54,6,1,2023-01-05 14:00:00,Completed,Product_6,Clothing,432.92,Customer_54,West,2023-06-09,432.92,2023-01
113,24,17,4,2023-01-05 16:00:00,Completed,Product_17,Electronics,359.49,Customer_24,West,2023-03-11,1437.96,2023-01
