order_id,customer_id,product_id,quantity,order_date,status
1,62,39,3,2023-01-01 00:00:00,Completed
2,77,3,3,2023-01-01 01:00:00,Completed
3,3,45,3,2023-01-01 02:00:00,Completed
4,70,13,3,2023-01-01 03:00:00,Completed
5,72,50,4,2023-01-01 04:00:00,Completed
6,27,28,4,2023-01-01 05:00:00,Completed
7,9,20,2,2023-01-01 06:00:00,Cancelled
8,62,28,3,2023-01-01 07:00:00,Completed
9,37,8,3,2023-01-01 08:00:00,Completed
10,97,41,1,2023-01-01 09:00:00,Completed
11,51,39,4,2023-01-01 10:00:00,Completed
12,44,1,3,2023-01-01 11:00:00,Pending
13,24,3,2,2023-01-01 12:00:00,Completed
14,79,13,2,2023-01-01 13:00:00,Completed
15,59,28,4,2023-01-01 14:00:00,Pending
16,32,49,2,2023-01-01 15:00:00,Completed
17,96,25,2,2023-01-01 16:00:00,Completed
18,88,33,4,2023-01-01 17:00:00,Cancelled
19,52,38,3,2023-01-01 18:00:00,Completed
20,62,6,3,2023-01-01 19:00:00,Completed
21,58,44,2,2023-01-01 20:00:00,
22,52,45,2,2023-01-01 21:00:00,Completed
23,12,32,3,2023-01-01 22:00:00,Completed
24,39,45,4,2023-01-01 23:00:00,Completed
25,2,47,2,2023-01-02 00:00:00,Cancelled
26,3,21,1,2023-01-02 01:00:00,Completed
27,56,16,4,2023-01-02 02:00:00,Completed
28,81,21,2,2023-01-02 03:00:00,Completed
29,59,11,2,2023-01-02 04:00:00,Completed
30,2,37,1,2023-01-02 05:00:00,Completed
31,2,36,1,2023-01-02 06:00:00,Completed
32,92,35,3,2023-01-02 07:00:00,Completed
33,54,19,4,2023-01-02 08:00:00,Completed
34,87,20,4,2023-01-02 09:00:00,Completed
35,96,18,3,2023-01-02 10:00:00,Completed
36,97,47,4,2023-01-02 11:00:00,Completed
37,1,41,4,2023-01-02 12:00:00,Completed
38,19,49,4,2023-01-02 13:00:00,Pending
39,2,14,4,2023-01-02 14:00:00,Completed
40,53,15,4,2023-01-02 15:00:00,Completed
41,44,31,1,2023-01-02 16:00:00,Completed
42,90,1,4,2023-01-02 17:00:00,Cancelled
43,32,3,1,2023-01-02 18:00:00,Pending
44,70,16,4,2023-01-02 19:00:00,Completed
45,32,23,3,2023-01-02 20:00:00,Completed
46,68,11,2,2023-01-02 21:00:00,Cancelled
47,55,12,1,2023-01-02 22:00:00,Completed
48,75,10,4,2023-01-02 23:00:00,Completed
49,56,32,3,2023-01-03 00:00:00,Completed
50,17,16,2,2023-01-03 01:00:00,Completed
51,38,8,1,2023-01-03 02:00:00,
52,24,38,2,2023-01-03 03:00:00,Pending
53,69,12,3,2023-01-03 04:00:00,Completed
54,98,24,1,2023-01-03 05:00:00,Completed
55,70,28,2,2023-01-03 06:00:00,
56,86,8,4,2023-01-03 07:00:00,Cancelled
57,11,28,1,2023-01-03 08:00:00,Completed
